品目,品番,商品名,車両メーカー,代表型式,代表車名,純正品番,Uzone品番_純正品番,本体福原加工,クラッチ福原加工,本体,クラッチ,仕切り,保証期間,備考,付属品,注意事項１,注意事項２,在庫フラグ（0：在庫あり、1：要確認）,部品ID1,部品ID2,特徴1,特徴2,特徴3,特徴4,特徴5,特徴6,特徴7,特徴8,特徴9,特徴10
オルタネーター,A007TA2574R,スズキオルタ(G) IC 12/55,ｽｽﾞｷ,DA52V,ｴﾌﾞﾘｨ,3140078A00,,,,,,19300,2年4万km保証,MAXタイプ,,,注意：こちらのモデルはベルト滑りを起こしやすいモデルです。ファンベルト摩耗、ベルト張り不足等に特に注意が必要です。オルタネーターとベルトの同時交換をオススメします。,1,,,,,,,,,,,,
オルタネーター,A007TA2474R-S,スズキオルタ(G) I.C 12/45,ｽｽﾞｷ,DB52T,ｷｬﾘｰ,3140078A20,50028712,,,,,13100,1年2万km保証,シルバータイプ,,,,1,319.0,,,,,,,,,,,
オルタネーター,A007TA2474R,スズキオルタ(G) I.C 12/45,ｽｽﾞｷ,DB52T,ｷｬﾘｰ,3140078A30,,,,,,18800,2年4万km保証,MAXタイプ,,,,1,,,,,,,,,,,,
オルタネーター,A007TA2874R,スズキオルタ(G) IC 12/55,ｽｽﾞｷ,DA52W,ｴﾌﾞﾘｨ,3140078A40,,,,,,20600,2年4万km保証,MAXタイプ,,,,1,,,,,,,,,,,,
オルタネーター,102211-534R,オルタネ-タ (G) I.C 12/70,ｽｽﾞｷ,MA63S,ﾜｺﾞﾝR･ﾌﾟﾗｽ,3140078F00,,,,,,17800,2年4万km保証,MAXタイプ,,,,1,,,,,,,,,,,,
オルタネーター,102211-555R,スズキオルタ(G) IC 12/70,ｽｽﾞｷ,MA34S,ｿﾘｵ,3140078F10,50028715,,,,,17800,2年4万km保証,MAXタイプ,,,,1,319.0,,,,,,,,,,,
オルタネーター,A001T33771R,スズキオルタ(G) I.C 12/40,ｽｽﾞｷ,JA71C,ｼﾞﾑﾆｰ,3140080011,50028721,,,,,22100,2年4万km保証,MAXタイプ,,,,1,319.0,,,,,,,,,,,
オルタネーター,102211-219R,スズキオルタ(G) IC 12/75,ｽｽﾞｷ,HT51S,ｽｲﾌﾄ,3140080G00,,,,,,17800,2年4万km保証,MAXタイプ,,,,1,,,,,,,,,,,,
オルタネーター,102211-260R,オルタネーター(G) IC 12/75,ｽｽﾞｷ,MA34S,ｿﾘｵ,3140080G10,50028722,,,,,16000,2年4万km保証,MAXタイプ,,,,1,319.0,,,,,,,,,,,
オルタネーター,102211-926R,スズキオルタ(G)　I.C  12/75,ｽｽﾞｷ,XB32S,SX4,3140080J00,50028723,,,,,17800,2年4万km保証,MAXタイプ,,,,1,319.0,,,,,,,,,,,
オルタネーター,102211-523R,スズキオルタ(G) IC 12/60,ｽｽﾞｷ,JB33W,ｼﾞﾑﾆｰ,3140081A00,50028726,,,,,16400,2年4万km保証,MAXタイプ,,,,1,319.0,,,,,,,,,,,
オルタネーター,A007TA2191R,スズキオルタ (G) 12/55,ｽｽﾞｷ,JB23W,ｼﾞﾑﾆｰ,3140081A10,50028727,,,,,20550,2年4万km保証,MAXタイプ,,重要：純正品番が１Ａ０６－１８－３００（Ａ）の場合、ＯＥＭ車輌の為、現品メーカー品番がＡ００７ＴＡ２１９１である事の確認が必要です。,,1,319.0,,,,,,,,,,,
オルタネーター,A001T41171R,スズキオルタ(G) I.C 12/50,ﾏﾂﾀﾞ,GA-SE88M,ﾎﾞﾝｺﾞ,3140082131,,,,,,22100,2年4万km保証,MAXタイプ,,,,1,,,,,,,,,,,,
オルタネーター,A007T02471R,スズキオルタ(G) I.C 12/50,ｽｽﾞｷ,JA11V,ｼﾞﾑﾆｰ,3140082C10,,,,,,18800,2年4万km保証,MAXタイプ,,,,1,,,,,,,,,,,,
オルタネーター,A007TG0491R,スズキオルタ(G）I.C 12/55,ｽｽﾞｷ,DA16T,ｷｬﾘｰ,3140082M00,50028731,,,,,22100,2年4万km保証,MAXタイプ,,,,1,319.0,,,,,,,,,,,
オルタネーター,A001TG2091R,スズキ オルター(G) IC 12/60,ｽｽﾞｷ,DA16T,ｷｬﾘｲﾄﾗｯｸ,3140082M10,50028733,,,,,22100,2年4万km保証,MAXタイプ,,,,1,319.0,,,,,,,,,,,
オルタネーター,102211-702R,オルタネータ (G) I.C 12/65,ｽｽﾞｷ,HN22S,kei,3140084F00,50028734,,,,,10900,2年4万km保証,MAXタイプ,,,,1,319.0,,,,,,,,,,,
オルタネーター,101211-855R,オルタネーター(G) IC 12/55,ｽｽﾞｷ,MC12S,ﾜｺﾞﾝR,3140084G10,50028735,,,,,11500,2年4万km保証,MAXタイプ,,,,1,319.0,,,,,,,,,,,
オルタネーター,A001TA3291AR,オルタネーター(G)　IC 12/60,ｽｽﾞｷ,JB23W,ｼﾞﾑﾆｰ,3140084G31,50028736,,,,,16400,2年4万km保証,MAXタイプ,,,,1,319.0,,,,,,,,,,,
